Elemento;Símbolo;Número Atômico;Massa Atômica
Actínio;Ac;89;-227
Alumínio;Al;13;26,9815
Amerício;Am;95;-243
Antimônio;Sb;51;121,75
Argônio;Ar;18;39,948
Arsênio;As;33;74,9216
Astato;At;85;-210
Bário;Ba;56;137,34
Berquélio;Bk;97;-247
Berílio;Be;4;9,0122
Bismuto;Bi;83;209
Bóhrio;Bh;107;-262,1
Boro;B;5;10,811
Bromo;Br;35;79,909
Cádmio;Cd;48;112,4
Cálcio;Ca;20;40,08
Califórnio;Cf;98;-251
Carbono;C;6;12,01115
Cério;Ce;58;140,12
Césio;Cs;55;132,905
Chumbo;Pb;82;207,19
Cloro;Cl;17;35,453
Cobalto;Co;27;58,93
Cobre;Cu;29;63,55
Copernício;Cn;112;285
Criptônio;Kr;36;83,8
Cromo;Cr;24;51,996
Cúrio;Cm;96;-247
Darmstádio;Ds;110;-269
Disprósio;Dy;66;162,5
Dúbnio;Db;105;-262
Einstênio;Es;99;-252
Enxofre;S;16;32,064
Érbio;Er;68;167,26
Escândio;Sc;21;44,956
Estanho;Sn;50;118,69
Estrôncio;Sr;38;87,62
Európio;Eu;63;151,96
Férmio;Fm;100;-257
Ferro;Fe;26;55,847
Fleróvio;Fl;114;289
Flúor;F;9;18,9984
Fósforo;P;15;30,9738
Frâncio;Fr;87;-223
Gadolínio;Gd;64;157,25
Gálio;Ga;31;69,72
Germânio;Ge;32;72,59
Háfnio;Hf;72;178,49
Hássio;Hs;108;-265
Hélio;He;2;4,0026
Hidrogênio;H;1;1,00797
Hólmio;Ho;67;164,93
Índio;In;49;114,82
Iodo;I;53;126,9044
Irídio;Ir;77;192,2
Itérbio;Yb;70;173,04
Ítrio;Y;39;88,905
Lantânio;La;57;138,91
Laurêncio;Lr;103;-260
Lítio;Li;3;6,941
Livermório;Lv;116;292
Lutécio;Lu;71;174,97
Magnésio;Mg;12;24,312
Meitnério;Mt;109;-269
Manganês;Mn;25;54,938
Mendelévio;Md;101;-258
Mercúrio;Hg;80;200,59
Molibdênio;Mo;42;95,94
Moscóvio;Mc;115;288
Neodímio;Nd;60;144,24
Neônio;Ne;10;20,183
Netúnio;Np;93;-237
Nihônio;Nh;113;284
Nióbio;Nb;41;92,906
Níquel;Ni;28;58,69
Nitrogênio;N;7;14,0067
Nobélio;No;102;-259
Oganessônio;Og;118;294
Ósmio;Os;76;190,2
Ouro;Au;79;196,967
Oxigênio;O;8;15,9994
Paládio;Pd;46;106,4
Platina;Pt;78;195,09
Plutônio;Pu;94;-244
Polônio;Po;84;-209
Potássio;K;19;39,098
Praseodímio;Pr;59;140,907
Prata;Ag;47;107,87
Promécio;Pm;61;-145
Protactínio;Pa;91;-231
Rádio;Ra;88;-226
Radônio;Rn;86;-222
Rênio;Re;75;186,2
Ródio;Rh;45;102,905
Roentgênio;Rg;111;-272
Rubídio;Rb;37;85,47
Rutênio;Ru;44;101,07
Rutherfórdio;Rf;104;(261
Samário;Sm;62;150,35
Seabórgio;Sg;106;-263,1
Selênio;Se;34;78,96
Silício;Si;14;28,086
Sódio;Na;11;22,9898
Tálio;Tl;81;204,37
Tantálio;Ta;73;180,948
Tecnécio;Tc;43;-98
Telúrio;Te;52;127,6
Tenessino;Ts;117;294
Térbio;Tb;65;158,924
Titânio;Ti;22;47,9
Tório;Th;90;232
Túlio;Tm;69;168,934
Tungstênio;W;74;183,85
Urânio;U;92;238
Vanádio;V;23;50,942
Xenônio;Xe;54;131,38
Zinco;Zn;30;65,38
Zircônio;Zr;40;91,22
